Hundename,Original_Hundename,Score,EpiProgeny
Ravone Lorna Doone,Ravone Lorna Doone,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Donalbain Shadow,Donalbain Shadow,"0,3125","Eternal Friend's Bright Eyes, Gent Fynn from the Old Mansion House"
Seanbaile Nelson,FTW Seanbaile Nelson,"0,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, SE J(J)CH Hillus Drake, Quickrunners Alan, Quickrunners August"
Seanbaile Dawn,Seanbaile Dawn,"0,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, SE J(J)CH Hillus Drake, Quickrunners Alan, Quickrunners August"
Kestrel,Malwell Kestrel,"0,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Namusillan Tammikehr��j�, Zetastar Zesty Boy"
Stratfieldsaye Dipper,UK FTCh Stratfieldsaye Dipper,"0,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Sea-Croft Nimble, Searover Cosys Karo, Willowyck Unite"
Wharmton Angus,FTAW Wharmton Angus,"0,3125","Flying Flap Ears Duncan, Hillraisins Black Bertha, Lochmuir Casey, Quickrunners Alan, Quickrunners August"
Ace,FTCh Riversway Ace,"0,3125","Flying Flap Ears Ice Age, Glengad Dobby"
Mardas Moonglow,Mardas Moonglow,"0,3125","Fulmarus Dumpy Boy, Pictorial Betty, Pictorial Cenny, Rosanan White Gold, Vigo von der Pfalz"
Zeiban's Donna,Zeiban's Donna,"0,3125","Fulmarus Dumpy Boy, Usvalinnun Cessi"
Balnova Muffin Man,Balnova Muffin Man,"0,3125","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
eby Summer Rose,Rocheby Summer Rose,"0,3125","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof"
Penny Of Moreton,Penny Of Moreton,"0,3125","G�salyckans Gary Cooper, G�salyckans Handsome Boy, Waterfowler Ace"
Styleside Thorn,Styleside Thorn,"0,3125","G�salyckans Gary Cooper, G�salyckans Handsome Boy, Waterfowler Ace"
My Bliss of Styleside,My Bliss of Styleside,"0,3125","G�salyckans Gary Cooper, G�salyckans Handsome Boy, Waterfowler Ace"
Wasp of Abbotsleigh,Wasp of Abbotsleigh,"0,3125","G�salyckans Gary Cooper, G�salyckans Handsome Boy, Waterfowler Ace"
Deriolet Venus of Abbotsleigh,Deriolet Venus of Abbotsleigh,"0,3125","G�salyckans Gary Cooper, G�salyckans Handsome Boy, Waterfowler Ace"
Bonpedu's Cute Chocolate Anouck,Bonpedu's Cute Chocolate Anouck,"0,3125","Gent Fynn from the Old Mansion House, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Brindlebay Ebony,Brindlebay Ebony,"0,3125","Gr�fin von Westerholts Kastalia, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Saxthorpe Holiday,Saxthorpe Holiday,"0,3125","Gr�fin von Westerholts Kastalia, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Blackthorn of Follytower,GBSHCH Charway Blackthorn of Follytower,"0,3125","Grages Annalouisa, Oliver von Obderhalden"
Ando von Pitscherberg,VDH-Ch. Ando von Pitscherberg,"0,3125","Gulliver of Woodpecker's Lane, Iljoscha von der Perle der S�dpfalz"
Hyspire Darktown Strutter,BISS Am CH Hyspire Darktown Strutter,"0,3125","Hardscrabble Augusta, KhylarCreek Entering Mach II, Laboriginals Oi Va Voi"
Windfall's Black Piper WCX,BISS Am CH Windfall's Black Piper WCX JH,"0,3125","Hardscrabble Augusta, KhylarCreek Entering Mach II, Laboriginals Oi Va Voi"
Windfall's Win Storm JH WCX,Am CH Windfall's Win Storm JH WCX,"0,3125","Hardscrabble Augusta, KhylarCreek Entering Mach II, Laboriginals Oi Va Voi, Meta vom Barkendiek"
Balrion Ring Round The World,Balrion Ring Round The World,"0,3125","Judges Choice Cross my Heart, Yes we can Flic in France"
Janrod's Tammy Whynot,Am CH Janrod's Tammy Whynot,"0,3125","KhylarCreek Entering Mach II, Omenalaakson Charles For My Love"
Drakeshead Abba,FTCh Drakeshead Abba,"0,3125","Kosta Kl�vers Bran, Never change Gasper, Raven vom Tor zur Egge"
Poolstead Purse-Strings,Poolstead Purse-Strings,"0,3125","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Ludanies Be Brave, Olina von der Hollen-Hardt"
Drakeshead Nutmeg of Treckers,Drakeshead Nutmeg of Treckers,"0,3125","Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, Saku (FIN46719/07), Vauhti-Noudon Vauhtineito"
Tara,Dykraw Tara,"0,3125","Merjatuulian Wekkuli, Muistokas Rollo, Niinivuoren Aamu-Uninen"
MG,Twigg's MG,"0,3125","Middle River's Forest Harmony, Saku (FIN46719/07)"
Kamrats Buse SE LCH,SE UCH FI UCH  Kamrats Buse SE LCH SE JCH,"0,3125","Muistokas Rollo, Sky Yard's Istvan Imre, Usvalinnun Asterix"
Ethusan White Whisky,Ethusan White Whisky,"0,3125","Muistokas Rollo, NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito"
(DK) Medos Skimmer,FTCh (DK) Medos Skimmer,"0,3125","Nanni-Nadalina von der Bleiburg, Wijmas Lilla My, Wijmas Mymlan"
Micki-Tan vom Tennikerweidli,Micki-Tan vom Tennikerweidli,"0,3125","Nanni-Nadalina von der Bleiburg, Wijmas Lilla My, Wijmas Mymlan"
Martin of Mardas,ShCh Martin of Mardas,"0,3125","Pictorial Betty, Pictorial Cenny, Rosanan White Gold, Shadowvale's Tough Lady Hope, Vigo von der Pfalz"
Berryhill Bonnie of Stockiemuir,FTW Berryhill Bonnie of Stockiemuir,"0,3125","Polarfischer Greg, Quickrunners Alan, Quickrunners August"
Opus-Number-One,Twigg's Opus-Number-One,"0,3125","Saku (FIN46719/07), Willowridge G�sta-Berling"
Masterpiece,Twigg's Masterpiece,"0,3125","Saku (FIN46719/07), Willowridge G�sta-Berling"
Brookmoor Black Brando,Brookmoor Black Brando,"0,3125","Sea-Croft Nimble, Vauhti-Noudon Vauhtineito"
Dance Of Muninn,DK FTCh Newgrange Dance Of Muninn,"0,3125","Sea-Croft Nimble, Searover Cosys Karo, Searover Kellys Guns N'roses"
Muninn Little Wonder,Muninn Little Wonder,"0,3125","Sea-Croft Nimble, Searover Cosys Karo, Searover Kellys Guns N'roses"
Brig,Gallowmill Brig,"0,3125","Searover Ruffling Thea, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Willowyck Unite"
Bumble,FTCh Swinbrook Bumble,"0,3125","Searover Ruffling Thea, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Willowyck Unite"
Tisketh Applejack,Tisketh Applejack,"0,3125","Snowy Roxy vom Windbrunnen, Vigo von der Pfalz"
Horcutt Play a Song,Horcutt Play a Song,"0,3125","Snowy Roxy vom Windbrunnen, Vigo von der Pfalz"
Streamlight's Brave Opal,NO JCh SE JCh Streamlight's Brave Opal,"0,3125","Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Misteque,Tweedshot Misteque,"0,3125","Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Sound of Music at Lawnwood,Follytower Sound of Music at Lawnwood,"0,3125","Usvalinnun Asterix, Willowridge G�sta-Berling"
Black Bess,Lawnwood's Black Bess,"0,3125","Usvalinnun Asterix, Willowridge G�sta-Berling"
Stajantors Honest John JW,UK ShCh Stajantors Honest John JW,"0,25","Aaron from Elderberry Grove, Fulmarus Dumpy Boy, Usvalinnun Asterix"
Dt. Vet. CH Cadonau's Intermezzo,Dt. Vet. CH Cadonau's Intermezzo,"0,25",Aika vom Steindammer-Forst
Gesa of Horny,Gesa of Horny,"0,25",Aika vom Steindammer-Forst
Easy Luruper Brun Gammel Dansk,Easy Luruper Brun Gammel Dansk,"0,25",Aika vom Steindammer-Forst
Buttacre Iqu Insight,Buttacre Iqu Insight,"0,25",Aika vom Steindammer-Forst
Dainty Diva vom Gibbachhof,Dainty Diva vom Gibbachhof,"0,25",Aika vom Steindammer-Forst
Lab Treasure's Enzo,Int. Ch./Multi CH. Lab Treasure's Enzo,"0,25",Aika vom Steindammer-Forst
Sandylands April Fool,Sandylands April Fool,"0,25","Alerich of Trickster Hero, Zlotha-Baba von der Pfalz"
Rossbank Sari of Kincrosse,Rossbank Sari of Kincrosse,"0,25","Alerich of Trickster Hero, Zlotha-Baba von der Pfalz"
Whynbrae Shane,Whynbrae Shane,"0,25","Alerich of Trickster Hero, Zlotha-Baba von der Pfalz"
Summer Sunburst of Nightsun,Summer Sunburst of Nightsun,"0,25","Alerich of Trickster Hero, Zlotha-Baba von der Pfalz"
Lejie Goody Too Shoes,Int. Ch. Lejie Goody Too Shoes,"0,25","Alerich of Trickster Hero, Cassiopeia vom Hof F?rst"
Alicia,Nortonwood Alicia,"0,25","Alerich of Trickster Hero, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
arles,GB ShCh Novacroft Charles,"0,25","Alerich of Trickster Hero, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Marina,Novacroft Marina,"0,25","Alerich of Trickster Hero, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Oksedal Queen Anne/�ksedal Queen Anne,Ch. Oksedal Queen Anne/�ksedal Queen Anne,"0,25",Alflasker Barni
Keysun Teko of Blondella,UK Ch Keysun Teko of Blondella,"0,25","Alflasker Barni, Fulmarus Dumpy Boy, Gismo vom G?nsried, Sky Yard's Istvan Imre"
Hackih�ls Dipper,SE JCH Hackih�ls  Dipper,"0,25",Alsn�sets Hagla's Midnattssol
I SE JCH Capandus Still Got The Blues,LPI SE JCH Capandus Still Got The Blues,"0,25",Alsn�sets Hagla's Midnattssol
Do Tell,Minnows Do Tell,"0,25",Alsn�sets Hagla's Midnattssol
Nidaros Murphy,Nidaros Murphy,"0,25",Alsn�sets Hagla's Midnattssol
Hunt's Jacquard,SE TCH Brown Hunt's Jacquard,"0,25",Alsn�sets Hagla's Midnattssol
Kl?venh?js Pigale,Kl?venh?js Pigale,"0,25",Alsn�sets Hagla's Midnattssol
Talsbrook Rhum of Boltonabbey,FTCh Talsbrook Rhum of Boltonabbey,"0,25","Alsn�sets Hagla's Midnattssol, Pibiz Game Keeper"
Haremire Clio,Haremire Clio,"0,25","Alsn�sets Hagla's Midnattssol, Pibiz Game Keeper"
Soorploom Jed of Leadburn,FTCH Soorploom Jed of Leadburn,"0,25","Alsn�sets Hagla's Midnattssol, Pibiz Game Keeper"
Askrikes Quail,SE VCH Askrikes Quail,"0,25","Alsn�sets Hagla's Midnattssol, Pibiz Game Keeper"
Fern of Pebbadon,Fern of Pebbadon,"0,25",Amamus Pica-Pica
Sandringham Slipper,FTCh Sandringham Slipper,"0,25","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Sirmakan Jitterbug"
Alltid Sun Flower,Alltid Sun Flower,"0,25","Amamus Pica-Pica, Merjatuulian Wekkuli, Sirmakan Jitterbug"
Dipper of Drakeshead,FTW Dipper of Drakeshead,"0,25","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Hunting High And Low B'mali"
UDEX CDEX Manymills Flute,UDEX CDEX Manymills Flute,"0,25","Amamus Pica-Pica, Muistokas Rollo, Sirmakan Jitterbug, Usvalinnun Asterix"
Manymills Edwin of Creasser,Manymills Edwin of Creasser,"0,25","Amamus Pica-Pica, Muistokas Rollo, Sirmakan Jitterbug, Usvalinnun Asterix"
Manymills Tanne T.D.Ex. W.D.Ex. U.D.Ex. C.D.Ex.,W.T.CH. Manymills Tanne T.D.Ex. W.D.Ex. U.D.Ex. C.D.Ex.,"0,25","Amamus Pica-Pica, Muistokas Rollo, Sirmakan Jitterbug, Usvalinnun Asterix"
X-Mas Hero vom Keien Fenn,X-Mas Hero vom Keien Fenn,"0,25","Ambra vom freien Blick, Aslan vom freien Blick"
Oxana Z Veverova,Oxana Z Veverova,"0,25","Ambra vom freien Blick, Aslan vom freien Blick"
ablais Show Me The Way Web,CH Chablais Show Me The Way Web,"0,25",Angel of Hope Arik
Llanstinan Shockolatte Linjor,Llanstinan Shockolatte Linjor,"0,25",Angel of Hope Arik
Monty Bodkin,Birchbrook Monty Bodkin,"0,25",Angel of Hope Arik
O'Sofinas Toblerone,SE CH O'Sofinas Toblerone,"0,25",Angel of Hope Arik
ablais Shakespeare Simone,Can. Ch. Chablais Shakespeare Simone,"0,25","Angel of Hope Arik, Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Rosanan Whisky Sour,Rosanan Whisky Sour,"0,25","Angel of Hope Arik, Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Mallorn's Opium,Fin UCH Mallorn's Opium,"0,25","Angel of Hope Arik, Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Ludalor Lunar Eclipse over Amberstope JW,GB ShCh Ludalor Lunar Eclipse over Amberstope JW,"0,25",Anthony Kenneth from Grannies Garden
Perfect Lady Luck of Hanging Rock,Perfect Lady Luck of Hanging Rock,"0,25",Anthony Kenneth from Grannies Garden
IT CH HR CH Dolphingham DeTolomei,INT CH IT CH HR CH Dolphingham DeTolomei,"0,25",Anthony Kenneth from Grannies Garden
Vive Chanel! of Hanging Rock,Vive Chanel! of Hanging Rock,"0,25",Anthony Kenneth from Grannies Garden
Deana,Conneywarren Deana,"0,25","Anthony Kenneth from Grannies Garden, Deep Impact As Nike"
Jule of Hunters Heide,Jule of Hunters Heide,"0,25","Anthony Kenneth from Grannies Garden, Deep Impact As Nike"
Dreamer Dusty,Dreamer Dusty,"0,25","Anthony Kenneth from Grannies Garden, Deep Impact As Nike"
Paradocs Tabatha Stonehenge,AmCH Paradocs Tabatha Stonehenge,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Big Sky's Sable,Big Sky's Sable,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Delorme Gipsy,CanCh Chablais Delorme Gipsy,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais John Kaffe,BISS Am/CanCH Chablais John Kaffe,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Miss Zia,Can.Ch. Chablais Miss Zia,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Tabatha's Rollick At Carowby WC JH CD CGC,BISS INT/AmCH Tabatha's Rollick At Carowby  WC JH CD CGC,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
ablais Mioumiou,CanCH Chablais Mioumiou,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Dr Pepper,BISS Ch. Simerdown's Dr Pepper,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Buckholt Katie at Naiken JW,Buckholt Katie at Naiken JW,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Mallorn's Capuccino,"WVW'13 UA,MOL CH Mallorn's Capuccino","0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
APRILMIST JADE,APRILMIST JADE,"0,25","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
Tjotte's Brown Bubble No Trouble,NORD UCH Tjotte's Brown Bubble No Trouble,"0,25",Armani Damon vom Asbrookdamm
Thurbajen's New Years Eve,SE U(U)CH Thurbajen's New Years Eve,"0,25",Armani Damon vom Asbrookdamm
Naiken Adisi,Naiken Adisi,"0,25","Armani Damon vom Asbrookdamm, Clausi von der Aacher Haag, Illko Wind in the Willows"
Brandham Keepsake at Elorac,Brandham Keepsake at Elorac,"0,25","Armani Damon vom Asbrookdamm, Fiin Hemuli, Illko Wind in the Willows"
Banner's Wenwood Obleo Arrow WCX,Banner's Wenwood Obleo Arrow WCX,"0,25","Armani Damon vom Asbrookdamm, Catch me if you can Happy Carlo, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Ambleside's Banner Of Triple L,CanCh Ambleside's Banner Of Triple L,"0,25","Armani Damon vom Asbrookdamm, Catch me if you can Happy Carlo, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Diant Double Dee,Diant Double Dee,"0,25","Armani Damon vom Asbrookdamm, As Game As Ermara, Clinton vom Hembeck"
Levenghyl Peacock,FTCh Levenghyl Peacock,"0,25",Batmoors' Apollo Lurgan
Astraglen Amelia,INT FTCh Astraglen Amelia,"0,25",Batmoors' Apollo Lurgan
Cadover Della,Cadover Della,"0,25","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia"
Rivertrees Whisky,Rivertrees Whisky,"0,25",Bj�ragardens Timmy-Willie
Melrossa Briano From Lawnwood,Melrossa Briano From Lawnwood,"0,25",Black Bet's Gillie
Betmiskan Annina,Betmiskan Annina,"0,25",Black Bet's Gillie
Mallards Sand Eel,Mallards Sand Eel,"0,25","Black Bet's Gillie, Brookhill's Crabman, Usvalinnun Cessi"
Cindys Christine,Cindys Christine,"0,25","Black Bet's Gillie, Brookhill's Crabman"
Kupros Kassidy,Kupros Kassidy,"0,25","Black Bet's Gillie, Brookhill's Crabman, Usvalinnun Cessi"
Horatio,Nunneyswood Horatio,"0,25",Black Hamlet L for Lake Shasta
Cuddley Cob,Nunneyswood Cuddley Cob,"0,25",Black Hamlet L for Lake Shasta
Mallorn's Mums Mums,CH SW Mallorn's Mums Mums,"0,25","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek"
Nor. Sw. Ch. Mambrinos Harvey,Nor. Sw. Ch. Mambrinos Harvey,"0,25","Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Just Bertha von der Tarpenbek"
eby Yorkshireman,Rocheby Yorkshireman,"0,25","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, KhylarCreek Entering Mach II, Laboriginals Oi Va Voi"
Braemar Black Ice,Rickways Braemar Black Ice,"0,25","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, KhylarCreek Entering Mach II, Laboriginals Oi Va Voi"
Warringah's Muffin,Warringah's Muffin,"0,25","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Philjay's Meadow Sweet,Philjay's Meadow Sweet,"0,25","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Sagacity,Elterwater Sagacity,"0,25","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Sky Yard's Istvan Imre, Ulanda aus dem Burghaus"
NOR CH Mementos Excelsior,NOR CH Mementos Excelsior,"0,25",Brookhill's Crabman
Narjanas Chiannah,NO ShCH Narjanas Chiannah,"0,25",Brookhill's Crabman
Surprising's Mathias,NO UCH Surprising's Mathias,"0,25","Brookhill's Crabman, Clinton vom Hembeck, King von der Bleiburg"
Roseacre Shell,Roseacre Shell,"0,25","Brookhill's Crabman, Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy"
Carpenny Chevalier,GB Ch Carpenny Chevalier,"0,25","Brookhill's Crabman, King von der Bleiburg, Oliver von Obderhalden"
Kelland Black Hussar,BelgFTCh Kelland Black Hussar,"0,25","Brufinn Keep Retrieving Doc, Streamlight's Grappas Dexter"
Fr?ulein Hazel vom Nollbachtal,Fr?ulein Hazel vom Nollbachtal,"0,25","Brufinn Keep Retrieving Doc, Streamlight's Grappas Dexter"
Plum,FTCh Brockweir Plum,"0,25","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, COSMIC COVER'S WIN CALL TO FIND OUT"
�lvgardens Royal Claret Ft.W.,SE UCh �lvgardens Royal Claret Ft.W.,"0,25",Cannonpowder Penelope
Alfonso,ChFin Upwards Alfonso,"0,25","Cannonpowder Penelope, Donna of Anny's Labs, Dumbledore of Anny's Labs"
Kevin Keegan Av Sverresborg,"FIN Ch, NORD WCH Kevin Keegan Av Sverresborg","0,25","Cannonpowder Penelope, Merjatuulian Wekkuli, Niinivuoren Aamu-Uninen"
Palabras Upwards,Palabras Upwards,"0,25","Cannonpowder Penelope, Fiin Hemuli, Iljoscha von der Perle der S�dpfalz, King von der Bleiburg"
Glenpatrick Gusto,FTW Glenpatrick Gusto,"0,25","Caper Cailie's Ohio, Deep Impact As Nike, Sven (SE21895/2015)"
Butlersarms Flash,Butlersarms Flash,"0,25","Caper Cailie's Ohio, Cosmic Cover's Mill's Jaywalker, Meadowlark Black Kite"
Pranceabout Pippa,Pranceabout Pippa,"0,25","Caper Cailie's Ohio, Cosmic Cover's Mill's Jaywalker, Meadowlark Black Kite"
Nicco vom Schnelter Bruch,Nicco vom Schnelter Bruch,"0,25",Carson vom Stecknitztal
Clara vom Gockel,Clara vom Gockel,"0,25",Carson vom Stecknitztal
Daphne aus der H�hnerbreite,Daphne aus der H�hnerbreite,"0,25",Carson vom Stecknitztal
SK Follies Polly Thepistol,"Ch CZ, Ch SK Follies Polly Thepistol","0,25",Cassiopeia vom Hof F?rst
Veyatie Proper Charlie,Int./Nl./Belg./VDH-CH. ES '98  Veyatie Proper Charlie,"0,25",Cassiopeia vom Hof F?rst
Sunshine of Lucifers Delight,Sunshine of Lucifers Delight,"0,25",Cassiopeia vom Hof F?rst
Blondella Balanced Shades,Blondella Balanced Shades,"0,25","Cassiopeia vom Hof F?rst, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Omenalaakson Charles For My Love"
Mallorn's Toffee,Int./DK./Dt./VDH-Ch. Mallorn's Toffee,"0,25",Catch me if you can Happy Carlo
Grages Annalisa,Grages Annalisa,"0,25",Catch me if you can Happy Carlo
Kaldi of Horny,Kaldi of Horny,"0,25",Catch me if you can Happy Carlo
Ayla aus der Vogelsiedlung,Ayla aus der Vogelsiedlung,"0,25",Catch me if you can Happy Carlo
Caven's Coca-Mo Brute,AmCH Caven's Coca-Mo Brute,"0,25",Catch me if you can Happy Carlo
Lindall A'Bit Of The Action,AmCH Lindall A'Bit Of The Action,"0,25","Catch me if you can Happy Carlo, Grages Annalouisa, Yes we can Flic in France"
Ballylinnet,UK Ch Charway Ballylinnet,"0,25",Charway Rainstorm
Eyebrook Willow,FTW Eyebrook Willow,"0,25","Charway Rainstorm, Clinton vom Hembeck, Mandylike's Porsche, Sirmakan Jitterbug"
Hazel of Raybank,Hazel of Raybank,"0,25","Chilihunters Game Glen, Quickrunners Alan, Quickrunners August, Willowridge G�sta-Berling"
Widgeon,FTCh Meadowbrae Widgeon,"0,25","Chilihunters Game Glen, SE J(J)CH Hillus Drake, Ravenfly Arielle, Willowridge G�sta-Berling"
Hifield Kite,Ir.FTCh Hifield Kite,"0,25","Chilihunters Game Glen, SE J(J)CH Hillus Drake, Ravenfly Arielle, Willowridge G�sta-Berling"
Tasco Clay of Collyers,Tasco Clay of Collyers,"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble"
lains Contessa,Newlains Contessa,"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble"
Middlebere Briar of Gospelash,FTW Middlebere Briar of Gospelash,"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble"
Georgia,Sweet Georgia (Ben of Mallowdale x Sandbrook Meg),"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble, Meadowlark Black Kite"
Dusky Dipper of Downfarm,Dusky Dipper of Downfarm,"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble, Clinton vom Hembeck, Zetastar Zesty Boy"
Mandylike's Beamy-Cheerful,SE JCH SE BCH Mandylike's Beamy-Cheerful,"0,25","Chilihunters Over Bridge, Chilihunters Over Trouble, Mandylike's Porsche, Zetastar Zesty Boy"
Hurleyhall Trey Of Willowyck,Hurleyhall Trey Of Willowyck,"0,25",Chilihunters Pro Hazy
Hawbridge Swift,Hawbridge Swift,"0,25",Chilihunters Pro Hazy
Tibea Cid,FTW Tibea Cid,"0,25","Chilihunters Pro Hazy, Reedsweeper's Desna"
Lady Sophia of Martin,Lady Sophia of Martin,"0,25","Chilihunters Pro Hazy, Reedsweeper's Desna"
Poolstead Pearl Barley,Poolstead Pearl Barley,"0,25","Clausi von der Aacher Haag, Rosanan White Gold, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre"
Tabatha's Knight CD JH CGC,Am Can CH Tabatha's Knight CD JH CGC,"0,25","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, KhylarCreek Entering Mach II"
Tabatha's Frazzle,BISS Am CH Tabatha's Frazzle,"0,25","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, KhylarCreek Entering Mach II"
Kimblederry Clover,Kimblederry Clover,"0,25",Cliff vom Zwillbrocker Venn
Fernshot Kay,Fernshot Kay,"0,25",Cliff vom Zwillbrocker Venn
Coveygarden Alder,Coveygarden Alder,"0,25",Clinton vom Hembeck
Ruselton Dion Dublin LCD-Jgd-/LCD-/VDH-CH. BS '97,Ruselton Dion Dublin LCD-Jgd-/LCD-/VDH-CH. BS '97,"0,25",Clinton vom Hembeck
